"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Vico F.; Monserrat J.F.; Ge Y.","Vico, Felipe (59914099400); Monserrat, Jose F. (15127624000); Ge, Yiqun (57192540024)","59914099400; 15127624000; 57192540024","Butler-Matrix Beamspace Front-Ends for Massive MIMO: Architecture, Loss Budget, and Capacity Impact","2025","Sensors","25","23","7170","","","0","10.3390/s25237170","https://www.scopus.com/pages/publications/105024626318?origin=resultslist","Massive Multiple-Input Multiple-Output (MIMO) systems with hundreds or thousands of antenna elements are fundamental to next-generation wireless networks, promising unprecedented spectral efficiency through spatial multiplexing and beamforming. However, the computational burden of channel state information (CSI) acquisition and processing scales dramatically with array size, creating a critical bottleneck for practical deployments. While previous works demonstrated that Fast Fourier Transform (FFT)-based beamspace processing can exploit the inherent angular sparsity of wireless channels to compress CSI feedback, the digital implementation requires intensive computations that become prohibitive for ultra-large arrays. This paper presents an analog alternative using Butler matrices—passive beamforming networks that realize the Discrete Fourier Transform in hardware—combined with RF switching circuits to select only dominant angular components. We provide a comprehensive analysis of Butler matrix architectures for arrays up to 32 × 32 elements, characterizing insertion losses across different technologies (microstrip, substrate-integrated waveguide, and waveguide) and operating frequencies (10–30 GHz). The proposed system incorporates parallel power sensing with Winner-Take-All circuits for sub-microsecond beam selection, drastically reducing the number of active RF chains. Full-wave simulations and capacity evaluations at 12 and 30 GHz demonstrate that the Butler-based approach achieves comparable performance to FFT methods while offering significant advantages in power consumption and processing latency. For a 256 × 256 array, FFT computation requires 0.36 ms compared to near-instantaneous analog processing, making Butler matrices particularly attractive for real-time massive MIMO systems. These findings establish Butler matrix front-ends as a practical pathway toward scalable, energy-efficient beamspace processing in 6G networks. © 2025 by the authors.","6G; beamforming network; beamspace; Butler matrix; capacity; CSI feedback; insertion loss; massive MIMO; switching matrix; winner-takes-all","Array processing; Beamforming; Budget control; Channel capacity; Channel estimation; Channel state information; Communication channels (information theory); Fast Fourier transforms; Feedback control; Matrix algebra; MIMO systems; Next generation networks; Substrate integrated waveguides; 6g; Beam space; Beamforming network; Butler matrices; Capacity; Channel state information feedbacks; Massive multiple-input multiple-output; Multiple inputs; Multiple outputs; Switching matrix; Winner-take-all; adolescent; article; budget; digital transformation; discrete Fourier transform; human; latent period; simulation; Butler matrix; Insertion losses","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105024626318"
"Gao S.; Hong Z.; Gu Y.; Wu J.; Yang Y.; Huang R.","Gao, Shouwei (16238865600); Hong, Zichao (59245762000); Gu, Yangqi (60256651800); Wu, Jianfeng (60256651900); Yang, Yang (56119453000); Huang, Ruilong (60256994500)","16238865600; 59245762000; 60256651800; 60256651900; 56119453000; 60256994500","ASFNOformer—A Superior Frequency Domain Token Mixer in Spiking Transformer","2025","Electronics (Switzerland)","14","24","4860","","","0","10.3390/electronics14244860","https://www.scopus.com/pages/publications/105025941540?origin=resultslist","As the third generation of neural networks, Spiking Neural Networks (SNNs) simulate the event-driven processing mode of the brain, offering superior energy efficiency and biological interpretability compared to traditional deep learning. Combining the architectural strengths of Transformers with SNNs has recently demonstrated high accuracy and significant potential. SNNs process binary spikes and rich temporal information, resulting in lower computational complexity and making them particularly suitable for neuromorphic datasets. However, neuromorphic data typically involve dynamic edges and high-frequency pixel intensity changes. Capturing this frequency information is challenging for traditional spatial methods but is critical for event-driven vision. To address this, we investigate the integration of the Fast Fourier Transform (FFT) into SNNs and propose the Adaptive Spiking Fourier Neural Operator Transformer (ASFNOformer). This architecture adapts the Adaptive Fourier Neural Operator (AFNO)—originally validated in Artificial Neural Networks (ANNs)—specifically for the spiking domain. Unlike standard AFNOs, our module applies FFT across both spatial (H, W) and temporal (T) dimensions, followed by a Multi-Layer Perceptron structure (MLP) mechanism with a block-diagonal weight matrix. This design effectively captures both spatial features and temporal dynamics inherent in event streams. Furthermore, we incorporate Leaky Integrate-and-Fire (LIF) neurons optimized with Learnable Weight Parameters (LWP-LIF) to enhance temporal feature extraction and adaptivity. Experimental results on standard benchmarks indicate that our method reduces the parameter count by approximately 25%. In terms of recognition accuracy, ASFNOformer is comparable to mainstream models on static datasets and demonstrates superior performance on neuromorphic datasets by efficiently capturing frequency features. Notably, ablation studies confirm the model’s generalizability, and when using QKformer as a baseline, our method achieves state-of-the-art (SOTA) performance on the CIFAR10-DVS dataset. This work advances frequency-domain analysis in SNNs, paving the way for efficient deployment on neuromorphic hardware. © 2025 by the authors.","adaptive improvement; frequency domain characteristic; signal analysis; SNN; spiking transformer; token mixer","Brain; Deep neural networks; Fast Fourier transforms; Memory architecture; Mixers (machinery); Neurons; Adaptive improvement; Fourier; Frequency domain characteristic; Frequency domains; Neural-networks; Neuromorphic; Signals analysis; Spiking neural network; Spiking transformer; Token mixer; Frequency domain analysis; Signal analysis","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105025941540"
"She Y.; Huang Y.; Liu J.; Cheung R.C.C.; Yan H.","She, Yuhan (57937999800); Huang, Yanlong (58736425200); Liu, Jierui (58737637400); Cheung, Ray C. C. (10044976000); Yan, Hong (35323219700)","57937999800; 58736425200; 58737637400; 10044976000; 35323219700","A Source-to-Source Compiler to Enable Hybrid Scheduling for High-Level Synthesis","2025","Electronics (Switzerland)","14","23","4578","","","0","10.3390/electronics14234578","https://www.scopus.com/pages/publications/105024559634?origin=resultslist","High-Level Synthesis (HLS) has gained considerable attention for its ability to quickly generate hardware descriptions from untimed specifications. Most state-of-the-art commercial HLS tools employ static scheduling, which excels in compute-intensive applications but struggles with control-dominant designs. While some open-source tools propose dynamic and hybrid scheduling techniques to synthesize dataflow-like architectures to improve speed, they lack well-established optimizations from static scheduling like datapath optimization and resource sharing, leading to frequency degradation and area overhead. Moreover, existing hybrid scheduling relies on extra dynamic synthesis support, either by dynamic or static HLS tools, and thereby loses generality. In this work, we propose another solution to achieve hybrid scheduling: a source-to-source compiler that exposes dynamism at the source code level, which reduces both frequency and area overhead while remaining fully compatible with modern static HLS tools without needing extra dynamic synthesis support. Experiments show significant improvements (1.26× speedup) on wall clock time (WCT) compared to VitisHLS and a better area–frequency–latency trade-off compared to dynamic (1.83× WCT speedup and 0.46× area) and hybrid (2.14× WCT speedup and 0.72× area) scheduling-based tools. © 2025 by the authors.","FPGA; high-level synthesis; pipelining; scheduling","Codes (symbols); Field programmable gate arrays (FPGA); High level synthesis; Program compilers; Area overhead; Clock time; Dynamic synthesis; Hardware descriptions; High-level synthesis; Hybrid scheduling; Optimisations; Pipelining; Static scheduling; Synthesis tool; Economic and social effects","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105024559634"
"Tang R.; Liu W.; Gao J.; Li Y.; Chen J.; Ren S.; Huang H.; Zeng G.","Tang, Ruohan (60627389300); Liu, Wenguang (59417326700); Gao, Juan (60627389400); Li, Yuling (60628116400); Chen, Jiaqi (60628119700); Ren, Siqi (60627931600); Huang, Haitao (58662755500); Zeng, Guojun (54928764500)","60627389300; 59417326700; 60627389400; 60628116400; 60628119700; 60627931600; 58662755500; 54928764500","Research on the design and autonomous navigation of medical intelligent agent systems based on multimodal perception","2025","Proceedings of SPIE - The International Society for Optical Engineering","13965","","139651J","","","0","10.1117/12.3091341","https://www.scopus.com/pages/publications/105038493103?origin=resultslist","This study develops an intelligent medical robot based on the DeepSeek model, aiming to enhance medical service efficiency through hardware and algorithm optimization. The robot features a lightweight carbon fiber body and an omnidirectional wheel system, integrated with a low-power circuit and multiple sensors, including LiDAR and high-definition cameras, to achieve precise environmental perception. A vision-based SLAM (Simultaneous Localization and Mapping) solution utilizing DeepSeek-VL2 keeps localization errors within the centimeter range, while reinforcement learning optimizes obstacle avoidance and path planning. Experimental results demonstrate a high-level speech recognition accuracy, with near-perfect OCR (Optical Character Recognition) precision for pharmaceutical identification, significantly improving navigation and delivery efficiency. Future work will focus on expanding sensor integration and algorithm iterations to further accommodate diverse medical needs, providing an intelligent solution to mitigate resource shortages. © 2025 SPIE.","autonomous navigation; DeepSeek model; hardware architecture; Medical intelligent agent; multimodal perception","Autonomous agents; Intelligent agents; Intelligent robots; Medical robotics; Motion planning; Navigation; Speech recognition; Algorithms optimizations; Autonomous navigation; Deepseek model; Hardware architecture; Hardware optimization; Intelligent agent system; Medical intelligent agent; Medical robots; Medical services; Multimodal perception; Low power electronics","Conference paper","Final","","Scopus","2-s2.0-105038493103"
"Yi Z.; Shuxian L.; Meng Y.; Feng Z.; Ruiying C.; Xiaoyu C.","Yi, Zhou (60252251300); Shuxian, Liu (58204715400); Meng, Yang (60253035000); Feng, Zhang (60252884500); Ruiying, Cheng (60252255300); Xiaoyu, Cai (60248385200)","60252251300; 58204715400; 60253035000; 60252884500; 60252255300; 60248385200","Research on multiple transaction consistency models and conflict resolution methods for active-Active architecture of trusted computing","2025","Proceedings of SPIE - The International Society for Optical Engineering","13940","","139400B","","","0","10.1117/12.3092603","https://www.scopus.com/pages/publications/105025723305?origin=resultslist","This paper proposes an optimized eventual consistency model (OEC) for the transaction consistency and conflict resolution problems of distributed systems under active-Active architecture of Trusted Computing. By integrating eBPF non-intrusive monitoring and adaptive synchronization frequency adjustment, the system performance and reliability are significantly improved. The study designs a timestamp-based conflict detection and priority resolution mechanism, and combines the delay cost model, conflict detection function and priority calculation method to achieve efficient transaction processing. Experimental verification shows that the OEC model reduces transaction delay by 61.7%, conflict rate to 0.09, throughput by 108.3%, and consistency recovery time by 60.7% in high concurrency scenarios, showing excellent adaptability to domestic software and hardware environments. This study provides an innovative solution for efficient transaction consistency of Trusted Computing distributed systems, and lays a theoretical and practical foundation for large-scale deployment of high-reliability scenarios such as finance and government affairs. © COPYRIGHT SPIE. Downloading of the abstract is permitted for personal use only.","Active-Active architecture; Adaptive synchronization; Conflict resolution; eBPF monitoring; Transaction consistency","Architecture; Computer architecture; Distributed computer systems; Synchronization; Verification; Active-active architecture; Adaptive synchronizations; Conflict detection; Conflict Resolution; Consistency model; Distributed systems; EBPF monitoring; Eventual consistency; Multiple transactions; Transaction consistency; Trusted computing","Conference paper","Final","","Scopus","2-s2.0-105025723305"
"Kaufman E.; Hoffner Y.","Kaufman, Eran (57208445254); Hoffner, Yigal (59780936300)","57208445254; 59780936300","Smart home and spaces with multiple stakeholders: automation, conflicts, security and recommender systems","2025","Discover Internet of Things","5","1","55","","","7","10.1007/s43926-025-00136-2","https://www.scopus.com/pages/publications/105004425331?origin=resultslist","When managing multiple smart homes and spaces with multiple stakeholders, key questions arise about creating an architecture that supports automation, encompassing aspects such as monitoring and control, ensuring privacy and security, and analysis and recommendation from shared accumulated data. To address those issues, we designed a rule language based on separating concerns, allowing users to specify desired outcomes without addressing technical implementation details. The separation of concerns resulted in a layered architecture that converts high-level decisions into home-specific actions, and sensor data into high-level information for decision making. A critical component, a rule engine, was designed and implemented. It evaluates and carries out the rules according to the state and context of the home and its residents, recognizing and resolving conflicting rules. A recommender system can suggest rules based on learning the residents’ behavior or by including rules of similar residents or households. A structured, policy-driven process addresses rule management issues: conflict resolution, security, privacy and distribution of authority. Our architecture supports seamless integration of rule or hardware changes and long-term data collection facilities, enabling learning residents’ behavior patterns to refine and automate decision-making. © The Author(s) 2025.","Internet of Things (IoT); Learning system; Recommender system; Rule-based smart home management; Smart home automation; Smart spaces","Information management; Risk perception; Home automation; Home management; Internet of thing; Multiple stakeholders; Rule based; Rule-based smart home management; Smart home automation; Smart homes; Smart space; Smart homes","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105004425331"
"You J.; Seo J.; Lee K.; Cho Y.; Paek Y.","You, Junseung (57305318700); Seo, Jiwon (60420683100); Lee, Kyeongryong (55856631000); Cho, Yeongpil (55792542200); Paek, Yunheung (7003313285)","57305318700; 60420683100; 55856631000; 55792542200; 7003313285","Bastag: Byte-level Access Control on Shared Memory using ARM Memory Tagging Extension","2025","CCS 2025 - Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security","","","","1514","1528","2","10.1145/3719027.3744849","https://www.scopus.com/pages/publications/105023887755?origin=resultslist","As software grows in size and complexity, modular designs are increasingly adopted, leading to frequent interactions via shared memory between components. This design however increases the risk of vulnerabilities from uncontrolled memory access to shared memory. Enforcing byte-level access control can mitigate these risks by enabling byte-level permissions on complex shared objects and their sub-elements. However, existing approaches face performance limitations as they increase the granularity of control to byte level. In this paper, we present Bastag, a novel system that leverages ARM's Memory Tagging Extension (MTE) to tack this challenge. Although MTE enforces tag-matching between pointers and memory, its hardware-defined granularity is too coarse to support byte-level control on its own. To address the inherent limitations of applying MTE for nuanced access control, Bastag incorporates a technique known as shadow memory tagging that places separate, but associated MTE tags for the actual memory targets, allowing for more flexible and finer access control with efficiency. We implemented a Bastag prototype on AArch64 hardware with MTE support and evaluated it on three real-world use cases. Our results demonstrate that Bastag significantly outperforms existing byte-level access control mechanisms. © 2025 Copyright held by the owner/author(s).","Memory Tagging Extension; shadow memory; software hardening","Access control; ARM processors; Computer hardware; Human computer interaction; Human engineering; Information management; Memory access; Memory tagging extension; Modular designs; Performance limitations; Shadow memory; Shared memory; Shared objects; Software hardenings; Sub-element; Tag matching; Memory architecture","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105023887755"
"Duan A.; Liuchen W.; Zhou P.; Song D.; Yang C.; Zheng Y.; Navarro-Alarcon D.","Duan, Anqing (57207208557); Liuchen, Wanli (58778854500); Zhou, Peng (57221249034); Song, Dezhen (16550861000); Yang, Chenguang (55671767000); Zheng, Yongping (7404837753); Navarro-Alarcon, David (25925269700)","57207208557; 58778854500; 57221249034; 16550861000; 55671767000; 7404837753; 25925269700","AuSoScan: Automatic Scoliosis Assessment by Ultrasound Scanning With Soft Contact Control","2025","IEEE/ASME Transactions on Mechatronics","30","6","","7693","7704","1","10.1109/TMECH.2025.3583041","https://www.scopus.com/pages/publications/105010970929?origin=resultslist","In this article, we present AuSoScan, a novel robotic platform that enables automatic scoliosis assessment through ultrasound scanning. Ultrasound imaging has been widely adopted in physical examinations due to its many benefits, such as being radiation-free, cost-effective, and highly portable. However, the scanning procedure is often tedious and labor-intensive, requiring sonographers to perform repetitive manual scanning tasks. With the fast development of robotic technologies in medical and healthcare applications, robotic ultrasound imaging presents a promising solution by combining the strengths of both robotic systems and ultrasonic devices. This has driven the development of AuSoScan, a platform specifically aimed at diagnosing scoliosis, a condition characterized by an abnormal lateral curvature of the spine. The hardware of the research platform consists of an ultrasound probe, a robotic arm, a depth camera, a force/torque sensor, and a workstation. The software architecture of the system comprises an ultrasonic perception model, a control system, and a 3-D spinal image reconstruction program. The control system of AuSoScan is implemented using model predictive control, explicitly accounting for the soft contact between the ultrasound probe and the patient’s back to enable precise force control. The effectiveness of AuSoScan is evaluated by real-world experiments of assessing the scoliosis on a phantom. © 1996-2012 IEEE.","Force control; healthcare robotics; image processing; medical robots and systems; robotic ultrasound imaging","Diagnosis; End effectors; Health care; Medical image processing; Medical robotics; Model predictive control; Predictive control systems; Probes; Robot applications; Ultrasonic imaging; Contact control; Healthcare robotics; Images processing; Medical robots and systems; Robotic platforms; Robotic ultrasound imaging; Soft contacts; Ultrasound imaging; Ultrasound probes; Ultrasound scanning; Force control","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105010970929"
"Jang J.; Kim Y.; Kim S.","Jang, Jaeyun (60234461800); Kim, Youngsik (59053770000); Kim, Shinwoong (56957699500)","60234461800; 59053770000; 56957699500","A 4–5 GHz Sub-Sampling PLL with TDC-Free Digital Coarse Loop","2025","Electronics (Switzerland)","14","23","4558","","","0","10.3390/electronics14234558","https://www.scopus.com/pages/publications/105024536996?origin=resultslist","This paper proposes a sub-sampling phase-locked loop (SSPLL) that combines a time-to-digital converter (TDC)-free digital coarse loop with a high-gain analog SSPD fine loop. The coarse loop follows a counter-assisted, frequency-domain DPLL framework with an auxiliary FLL, enabling wide capture range and fast initial acquisition. Precise fractional-N operation without a TDC is achieved by reusing the fine loop delta–sigma modulator (DSM) and digital-to-time converter (DTC) in the coarse loop: the DSM maps the frequency control word (FCW) fraction to a variable integer sequence for integer-domain fractional synthesis, while the DTC aligns reference clock to the nearest oscillator edge to cancel DSM-induced quantization error. An LMS-based DTC gain calibration is enabled in the coarse loop, and its calibrated gain is handed off to the fine loop, stabilizing loop switching despite the narrow locking range of the SSPD. Constraining arithmetic to the integer path eliminates a need of TDC and simplifies hardware, improving area efficiency while preserving accurate frequency/phase alignment. Simulations in 28 nm CMOS over 4–5 GHz with a 104 MHz reference demonstrate 177-fs RMS jitter, −245.6 dB FoM, 0.146-mm2 active area, and 8.94 mW power, validating wide capture, low in-band phase noise, and robust coarse-to-fine handover. © 2025 by the authors.","counter-assisted architecture; delta–sigma modulator (DSM); digital-to-time converter (DTC); DTC gain calibration; fractional-N frequency synthesis; integer-domain operation; sub-sampling phase-locked loop (SSPLL); time-to-digital converter (TDC)","Frequency converters; Frequency domain analysis; Locks (fasteners); Modulators; Phase locked loops; Variable frequency oscillators; Counter-assisted architecture; Delta sigma modulator; Delta–sigma modulator; Digital converters; Digital-to-time converter; Digital-to-time converter gain calibration; Fractional-N frequency synthesis; Gain calibration; Integer-domain operation; Phase locked; Sampling phasis; Sub-sampling; Sub-sampling phase-locked loop; Time-to-digital; Time-to-digital converter; Calibration","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105024536996"
"Mangaraj S.; Mahapatra K.; Ari S.","Mangaraj, Soumyashree (57206730486); Mahapatra, Kamalakanta (6603890328); Ari, Samit (23666484300)","57206730486; 6603890328; 23666484300","HLS-compiled PYNQ-based cardiac arrhythmia detection system leveraging quantized ECG beat images","2025","Biomedical Signal Processing and Control","109","","108063","","","6","10.1016/j.bspc.2025.108063","https://www.scopus.com/pages/publications/105005578367?origin=resultslist","Electrocardiogram (ECG) analysis is a widely used non-invasive method for detecting cardiac disorders. Efficient hardware inference of deep learning (DL) models for accurate diagnostics is an emerging focus in biomedical applications. However, deployment of computationally intense DL architecture on resource constrained field-programmable gate array (FPGA) platform is always a challenge. It involves frequent memory access and data reuse, which leads to latency and throughput degradation. This work addresses a portable FPGA based healthcare system for arrhythmia classification. A hardware-aware dual-branch convolutional neural network (CNN) architecture is proposed to enhance FPGA's inherent parallelism, and minimize data-reuse complexity. The hardware modeling of CNN architecture is developed in high-level synthesis (HLS) environment with 4-bit quantized ECG beat images as input. In addition, hardware level optimization techniques are proposed through three key designs: (i) parallel-quantized-pixel wise (PQP) convolution module, (ii) function-merging add-pool unit, and (iii) skip-zero-weight (SZW) architecture. The design removes ReLU activation in convolution and fully connected layers by leveraging unsigned 4-bit integer (UINT4) computations, ensuring non-negative intermediate results. The implemented design utilizes 31.93% of look-up tables (LUTs), 17.75% of flip-flops (FFs), 50.45% of digital signal processing (DSP) units, and 30% of block random-access memory (BRAM) on PYNQ-Z2 FPGA board, and achieves a latency of 236 ms and a throughput of 63 giga operations per second (GOPS) verified using Vivado 2022.2. The proposed system is evaluated on the MIT-BIH Arrhythmia Dataset following the AAMI EC57 standard and achieves 97.79% classification accuracy for five types of ECG beats, demonstrating its real-time potential. © 2025 Elsevier Ltd","Arrhythmia classification; CNN; ECG; HLS; PYNQ framework; PYNQ-Z2 FPGA","Image analysis; Image coding; Image compression; Image enhancement; Image reconstruction; Network coding; Noninvasive medical procedures; Table lookup; Arrhythmia classification; Cardiac arrhythmia; Convolutional neural network; Data reuse; Field programmables; High-level synthesis; Neural network architecture; Programmable gate array; PYNQ framework; PYNQ-z2 field-programmable gate array; Article; binary classification; confusion matrix; controlled study; convolutional neural network; data synthesis; detection algorithm; diagnostic accuracy; diagnostic test accuracy study; discrete wavelet transform; electrocardiography; entropy; field programmable gate array; heart arrhythmia; high level synthesis; human; open source technology; power analysis; probabilistic neural network; quantization; signal processing; Electrocardiography","Article","Final","","Scopus","2-s2.0-105005578367"
